wind_speed,score,offnadir_deg,R_mean,R_p50,R_p99,G_mean,G_p50,G_p99,B_mean,B_p50,B_p99
1.000000,1.007577702452,8.175880,0.01516707,0.01512242,0.01784187,0.03685581,0.03678428,0.04291079,0.06700482,0.06676063,0.07763226
1.250000,1.004799486380,8.175880,0.01529499,0.01524992,0.01799383,0.03699534,0.03692275,0.04307143,0.06714470,0.06690166,0.07779827
1.500000,1.000254701469,8.175880,0.01554955,0.01550411,0.01829483,0.03727205,0.03719977,0.04339464,0.06742594,0.06718322,0.07812723
1.750000,0.995262126051,8.175880,0.01596465,0.01591863,0.01878305,0.03772372,0.03765089,0.04391933,0.06788428,0.06764212,0.07865763
2.000000,0.992969854240,8.175880,0.01655297,0.01650707,0.01947793,0.03836569,0.03829135,0.04466496,0.06853769,0.06829493,0.07941398
2.250000,0.997079407493,8.175880,0.01730886,0.01726261,0.02037719,0.03919372,0.03911820,0.04563130,0.06938144,0.06913552,0.08039636
2.500000,1.010152656037,8.175880,0.01821497,0.01816738,0.02145885,0.04018840,0.04011071,0.04678727,0.07039569,0.07014861,0.08157608
2.750000,1.033320903590,8.175880,0.01924715,0.01919767,0.02268384,0.04132310,0.04124482,0.04810713,0.07155451,0.07130580,0.08292473
3.000000,1.279828525411,8.175880,0.02037742,0.02032633,0.02402552,0.04256569,0.04248391,0.04955563,0.07282547,0.07257446,0.08441137
3.250000,1.550427223716,8.175880,0.02157870,0.02152498,0.02545308,0.04388595,0.04380153,0.05110389,0.07417701,0.07392617,0.08596890
3.500000,1.823750855755,8.175880,0.02282582,0.02276954,0.02693128,0.04525592,0.04516751,0.05270011,0.07558122,0.07532790,0.08760275
3.750000,2.094578828688,8.175880,0.02409550,0.02403646,0.02843564,0.04665137,0.04656076,0.05432822,0.07701112,0.07675543,0.08926946
4.000000,2.358850690519,8.175880,0.02536748,0.02530479,0.02994365,0.04805165,0.04795917,0.05595963,0.07844599,0.07818635,0.09094142
